country,points,price
Argentina,91,30.0
France,91,65.0
France,91,17.0
France,91,
France,91,20.0
New Zealand,91,28.0
France,91,20.0
France,91,20.0
France,91,25.0
US,91,38.0
New Zealand,91,120.0
US,91,23.0
US,91,48.0
US,91,32.0
New Zealand,91,50.0
Argentina,91,28.0
New Zealand,91,30.0
France,91,25.0
Portugal,85,8.0
France,85,15.0
Portugal,85,22.0
Argentina,85,14.0
Argentina,85,25.0
Portugal,85,8.0
US,85,14.0
Italy,85,80.0
Portugal,85,9.0
US,85,13.0
Argentina,85,17.0
Portugal,85,10.0
US,85,16.0
France,85,10.0
France,85,22.0
France,85,40.0
Argentina,85,15.0
Argentina,85,17.0
US,85,32.0
Portugal,85,12.0
Argentina,85,17.0
Italy,85,102.0
US,85,
France,85,10.0
France,85,20.0
US,85,33.0
Italy,85,48.0
Portugal,85,12.0
Australia,85,9.0
US,87,24.0
US,87,75.0
France,87,12.0
US,87,45.0
Chile,87,13.0
France,87,
US,87,22.0
Spain,87,10.0
US,87,18.0
US,87,35.0
US,87,36.0
US,87,34.0
US,87,70.0
US,87,28.0
Chile,87,19.0
Spain,87,14.0
Spain,87,10.0
US,87,45.0
US,87,32.0
Australia,87,18.0
Spain,87,9.0
Australia,87,11.0
Italy,87,30.0
France,92,62.0
US,92,40.0
France,92,66.0
Portugal,92,32.0
US,92,70.0
US,92,48.0
France,92,72.0
Italy,92,18.0
US,92,105.0
France,92,101.0
Italy,92,50.0
Italy,92,85.0
US,92,35.0
US,92,38.0
Portugal,90,32.0
Argentina,90,25.0
Portugal,90,12.0
US,90,125.0
Argentina,90,46.0
Germany,90,29.0
US,90,17.0
US,90,85.0
France,90,30.0
US,90,34.0
US,90,22.0
France,90,35.0
France,90,45.0
France,90,20.0
France,90,17.0
France,90,45.0
US,90,20.0
US,90,50.0
France,90,22.0
US,90,39.0
US,90,35.0
US,90,15.0
US,90,27.0
Australia,90,66.0
Italy,90,32.0
Spain,90,20.0
US,90,125.0
Germany,90,16.0
US,90,42.0
Australia,90,22.0
Italy,86,
US,86,18.0
US,86,22.0
Chile,86,12.0
France,86,15.0
France,86,9.0
Spain,86,12.0
Spain,86,15.0
Italy,86,20.0
US,86,28.0
US,86,10.0
Italy,86,70.0
Italy,86,28.0
Chile,86,11.0
France,86,30.0
US,86,26.0
France,86,15.0
France,86,23.0
France,86,
Italy,86,30.0
Chile,86,10.0
France,86,12.0
Spain,86,13.0
Spain,86,15.0
US,86,36.0
US,86,20.0
France,86,
US,86,10.0
France,86,16.0
US,86,25.0
Italy,90,24.0
Italy,90,
France,90,24.0
France,90,33.0
France,90,
France,90,70.0
France,90,117.0
France,90,
France,90,16.0
Germany,90,30.0
US,90,20.0
US,90,35.0
Italy,90,25.0
US,90,28.0
US,90,15.0
US,90,150.0
US,90,45.0
Italy,90,30.0
Italy,90,19.0
US,90,45.0
Germany,90,40.0
Italy,90,
Australia,90,25.0
US,90,40.0
Chile,90,15.0
US,90,42.0
US,90,29.0
US,90,42.0
US,90,18.0
Hungary,90,16.0
Portugal,90,40.0
Portugal,90,
Spain,90,50.0
Italy,90,
France,90,35.0
France,90,45.0
US,90,20.0
Spain,90,44.0
US,90,22.0
Italy,90,
US,90,28.0
US,90,27.0
France,90,25.0
Portugal,90,60.0
US,90,72.0
US,90,44.0
US,90,28.0
US,90,29.0
US,90,58.0
Australia,90,15.0
Italy,90,29.0
Italy,90,45.0
US,90,70.0
US,90,39.0
Italy,90,
Italy,90,28.0
Spain,90,48.0
Portugal,90,50.0
US,87,22.0
Germany,87,10.0
Italy,87,50.0
US,87,30.0
US,87,18.0
Portugal,87,30.0
Italy,87,39.0
Italy,87,35.0
Argentina,87,30.0
France,87,23.0
US,87,18.0
,87,30.0
Argentina,87,20.0
US,87,25.0
US,87,20.0
Italy,87,50.0
Italy,87,50.0
Argentina,87,15.0
Australia,87,
Portugal,87,9.0
Argentina,87,12.0
Portugal,87,14.0
Australia,87,18.0
US,87,20.0
Argentina,87,175.0
Portugal,87,12.0
Italy,87,60.0
US,87,20.0
Argentina,87,15.0
Italy,87,35.0
France,87,14.0
France,87,16.0
France,87,15.0
France,87,14.0
US,87,40.0
US,87,29.0
Spain,87,15.0
US,87,55.0
France,87,38.0
Spain,87,15.0
US,87,34.0
Spain,87,18.0
US,87,27.0
US,87,17.0
US,87,65.0
Portugal,87,13.0
Portugal,87,15.0
Italy,87,23.0
US,87,40.0
US,87,32.0
Spain,87,16.0
US,87,38.0
US,87,15.0
Italy,87,50.0
Italy,87,30.0
US,87,24.0
Spain,87,18.0
France,87,40.0
France,87,18.0
France,87,20.0
France,85,40.0
France,85,11.0
Italy,85,17.0
Italy,85,48.0
New Zealand,85,9.0
Chile,85,10.0
Italy,85,
Chile,85,9.0
US,85,19.0
France,85,15.0
US,85,23.0
US,85,35.0
US,85,30.0
Italy,85,12.0
US,85,17.0
US,85,16.0
US,85,15.0
France,85,10.0
Italy,85,41.0
France,85,10.0
Italy,85,16.0
US,85,25.0
Romania,85,12.0
Argentina,88,20.0
Portugal,88,
Australia,88,25.0
US,88,20.0
Spain,88,53.0
US,88,12.0
France,88,
France,88,14.0
France,88,12.0
France,88,22.0
Italy,88,26.0
Italy,88,14.0
Australia,88,18.0
US,88,18.0
US,88,17.0
US,88,24.0
Italy,88,41.0
US,88,60.0
France,88,26.0
France,88,25.0
France,88,16.0
US,88,40.0
France,88,21.0
Australia,88,14.0
Chile,88,18.0
US,88,75.0
US,88,16.0
Italy,88,
Italy,88,45.0
US,88,42.0
US,88,48.0
Italy,88,22.0
Italy,88,22.0
France,88,20.0
US,88,125.0
US,88,14.0
Argentina,88,20.0
Italy,88,27.0
Israel,88,25.0
France,88,28.0
US,88,42.0
US,88,13.0
US,88,34.0
Spain,88,19.0
Spain,88,18.0
US,88,60.0
Spain,88,28.0
New Zealand,88,16.0
US,88,22.0
France,88,10.0
Italy,88,12.0
Italy,88,28.0
US,88,28.0
New Zealand,87,20.0
Spain,87,15.0
Argentina,87,15.0
New Zealand,87,70.0
Spain,85,15.0
Austria,85,20.0
Italy,85,17.0
US,85,24.0
Italy,85,28.0
US,85,16.0
France,85,12.0
France,85,12.0
US,85,10.0
Spain,85,25.0
US,85,12.0
Spain,85,30.0
Italy,85,19.0
Austria,85,24.0
Austria,85,10.0
Chile,85,11.0
US,85,16.0
Italy,85,
France,85,11.0
France,85,25.0
Italy,85,
South Africa,85,20.0
Italy,85,
Portugal,94,50.0
US,94,38.0
US,94,34.0
US,94,100.0
US,94,95.0
US,94,62.0
Italy,94,57.0
Portugal,94,150.0
Portugal,94,78.0
Australia,94,100.0
US,94,52.0
France,94,112.0
Italy,94,180.0
US,94,35.0
US,94,85.0
US,94,32.0
US,94,32.0
US,94,120.0
US,94,85.0
France,94,120.0
US,94,38.0
US,94,32.0
US,94,58.0
US,94,85.0
US,94,80.0
Portugal,94,60.0
US,94,75.0
US,94,50.0
France,94,60.0
US,94,60.0
US,90,28.0
Chile,90,25.0
US,90,15.0
US,90,19.0
US,90,40.0
Chile,90,35.0
Austria,90,
US,90,45.0
US,90,13.0
France,90,15.0
Italy,90,22.0
US,90,35.0
US,90,20.0
US,90,38.0
Italy,90,70.0
Spain,90,60.0
Spain,90,25.0
France,90,17.0
US,90,15.0
Italy,90,38.0
Spain,90,27.0
US,90,10.0
US,90,56.0
Italy,90,18.0
France,90,32.0
France,90,24.0
France,90,
US,84,16.0
US,84,40.0
US,84,20.0
US,84,38.0
France,84,20.0
France,84,18.0
France,84,
Chile,84,13.0
US,84,65.0
New Zealand,84,16.0
France,84,14.0
France,84,20.0
France,84,15.0
Chile,84,11.0
US,84,27.0
Italy,84,11.0
Italy,84,10.0
US,84,100.0
US,84,25.0
Chile,84,18.0
US,84,13.0
US,84,28.0
US,83,11.0
France,83,12.0
Italy,83,
US,83,17.0
Italy,83,14.0
France,83,30.0
Chile,83,11.0
US,83,45.0
US,87,24.0
Austria,87,15.0
Australia,87,19.0
Greece,87,15.0
Austria,87,23.0
US,87,60.0
Austria,87,16.0
Austria,87,21.0
Greece,87,13.0
Italy,86,17.0
Italy,86,15.0
Italy,86,20.0
Italy,86,19.0
US,86,23.0
US,86,18.0
Italy,86,13.0
US,86,26.0
Italy,86,13.0
Argentina,86,17.0
Germany,86,20.0
US,86,48.0
US,86,40.0
Argentina,86,12.0
Austria,86,12.0
Italy,86,18.0
Portugal,88,14.0
Argentina,88,19.0
France,88,10.0
US,88,26.0
Italy,88,50.0
Australia,88,13.0
Italy,88,49.0
Italy,88,50.0
Portugal,88,19.0
France,88,14.0
Turkey,88,20.0
France,88,28.0
France,88,70.0
US,88,13.0
France,88,40.0
France,88,10.0
Argentina,88,16.0
Argentina,87,40.0
Argentina,87,20.0
US,87,35.0
Italy,87,90.0
Australia,87,25.0
Australia,87,13.0
Germany,87,10.0
France,87,32.0
US,87,26.0
US,87,14.0
Portugal,87,10.0
Italy,87,75.0
US,87,35.0
Italy,93,80.0
Portugal,93,55.0
US,93,24.0
US,93,52.0
US,93,115.0
US,93,60.0
US,93,40.0
US,93,55.0
Portugal,93,28.0
US,93,60.0
Italy,93,33.0
Italy,93,57.0
US,93,75.0
France,93,40.0
US,93,58.0
US,93,55.0
US,93,65.0
Portugal,93,75.0
US,93,38.0
US,93,49.0
US,93,32.0
US,93,55.0
Portugal,93,32.0
US,93,65.0
US,93,40.0
US,92,50.0
US,92,42.0
US,92,60.0
US,92,48.0
US,92,36.0
Italy,88,16.0
France,88,9.0
Italy,88,35.0
France,88,40.0
US,88,13.0
South Africa,88,17.0
Germany,88,20.0
US,88,50.0
South Africa,88,35.0
US,88,40.0
South Africa,88,13.0
US,88,50.0
US,88,20.0
Italy,88,
Germany,88,22.0
Germany,88,12.0
US,88,7.0
US,88,10.0
South Africa,88,15.0
US,88,40.0
Spain,88,21.0
Italy,88,90.0
Spain,85,7.0
Italy,85,22.0
Italy,85,
US,85,20.0
US,85,13.0
US,85,35.0
Israel,85,12.0
US,85,16.0
US,85,20.0
Italy,85,12.0
Spain,85,30.0
US,85,34.0
US,85,26.0
Italy,84,
US,84,15.0
Italy,84,28.0
US,84,10.0
US,84,70.0
US,84,24.0
Italy,84,10.0
Portugal,84,
Spain,84,8.0
Spain,84,27.0
US,84,10.0
Italy,84,10.0
France,84,
New Zealand,84,17.0
Italy,89,20.0
US,89,35.0
Italy,89,19.0
Germany,89,13.0
Italy,89,48.0
Italy,89,26.0
Italy,89,13.0
US,89,75.0
Spain,89,30.0
US,89,25.0
France,89,14.0
Italy,89,20.0
US,89,36.0
Italy,89,49.0
US,89,35.0
France,89,20.0
France,89,21.0
Germany,89,28.0
Germany,89,20.0
Spain,89,18.0
Spain,89,20.0
US,89,40.0
Portugal,89,13.0
US,89,45.0
US,89,40.0
US,89,32.0
Italy,89,15.0
US,89,34.0
Italy,89,40.0
Italy,89,20.0
Italy,90,20.0
US,90,42.0
US,90,98.0
New Zealand,90,25.0
Austria,90,18.0
Spain,90,25.0
Austria,90,15.0
Spain,90,36.0
US,90,35.0
US,90,56.0
Spain,90,33.0
New Zealand,90,25.0
US,90,38.0
France,90,28.0
France,90,22.0
France,90,13.0
France,90,
US,90,38.0
US,90,22.0
US,90,18.0
US,90,42.0
Italy,90,25.0
France,90,21.0
France,90,23.0
France,90,30.0
Austria,90,20.0
US,90,39.0
US,90,38.0
Italy,90,18.0
US,90,22.0
Argentina,86,11.0
Italy,86,29.0
US,86,10.0
Italy,86,35.0
Italy,86,19.0
France,86,
France,86,
France,86,14.0
US,86,30.0
US,86,35.0
France,86,75.0
Spain,86,47.0
Spain,86,10.0
US,86,17.0
US,86,23.0
Italy,86,9.0
US,86,27.0
Italy,86,18.0
France,86,
France,87,15.0
Chile,87,9.0
France,87,40.0
US,87,20.0
Italy,86,
US,86,13.0
US,86,28.0
Italy,86,10.0
US,86,20.0
US,86,24.0
France,86,15.0
US,86,18.0
Portugal,86,11.0
US,86,18.0
France,86,24.0
US,86,12.0
US,86,18.0
Chile,86,20.0
US,86,15.0
Italy,88,25.0
Germany,88,14.0
US,88,36.0
Italy,88,27.0
US,88,42.0
South Africa,88,16.0
South Africa,88,
Italy,88,20.0
US,88,48.0
US,88,
Argentina,88,19.0
US,88,40.0
US,88,50.0
Portugal,88,21.0
Germany,88,16.0
Italy,88,19.0
Portugal,88,11.0
US,88,25.0
Italy,88,23.0
Italy,88,30.0
Italy,88,28.0
US,88,22.0
US,88,15.0
Italy,88,20.0
Italy,88,20.0
US,88,70.0
Germany,88,9.0
Portugal,88,40.0
Portugal,88,30.0
US,88,16.0
France,93,
France,93,31.0
France,93,30.0
US,93,38.0
US,93,45.0
US,93,50.0
US,93,24.0
France,93,
Austria,93,
US,93,86.0
US,92,55.0
Austria,92,
France,92,28.0
France,92,45.0
US,92,85.0
US,92,50.0
US,92,120.0
US,92,30.0
France,92,25.0
France,92,40.0
South Africa,92,50.0
US,92,32.0
US,92,40.0
France,92,
Austria,92,46.0
US,92,39.0
US,92,85.0
Austria,92,
Austria,92,60.0
US,94,75.0
US,94,120.0
France,94,25.0
France,94,80.0
Portugal,94,85.0
US,94,28.0
France,94,180.0
France,94,85.0
France,94,135.0
Italy,94,125.0
France,94,90.0
Italy,94,154.0
US,94,70.0
US,94,150.0
Germany,94,56.0
France,94,49.0
US,94,72.0
Italy,93,48.0
US,93,35.0
Italy,93,70.0
France,93,132.0
US,93,38.0
Portugal,93,20.0
US,93,175.0
US,93,36.0
US,93,60.0
US,93,110.0
US,93,100.0
Italy,93,85.0
US,93,80.0
Chile,86,12.0
Italy,86,18.0
Italy,86,15.0
US,86,20.0
Chile,86,14.0
Australia,85,12.0
Chile,85,9.0
Chile,85,12.0
US,85,9.0
Argentina,85,10.0
France,85,19.0
New Zealand,85,11.0
US,85,75.0
Hungary,85,48.0
US,85,22.0
Italy,85,35.0
Italy,85,12.0
New Zealand,85,23.0
Italy,85,15.0
New Zealand,85,16.0
Argentina,85,12.0
US,85,34.0
US,85,65.0
Argentina,85,10.0
Argentina,85,8.0
Italy,85,16.0
Chile,85,12.0
Italy,92,43.0
US,92,32.0
US,92,71.0
Italy,92,65.0
US,92,60.0
Austria,92,
France,92,15.0
France,92,35.0
France,92,
Chile,92,92.0
US,92,42.0
Italy,92,65.0
France,92,35.0
Italy,92,43.0
US,92,54.0
US,92,75.0
France,92,16.0
France,92,35.0
France,92,26.0
Chile,92,38.0
France,92,50.0
Chile,92,29.0
Italy,92,42.0
US,92,48.0
Chile,92,40.0
US,92,100.0
Italy,86,21.0
Portugal,86,14.0
Portugal,86,13.0
US,86,15.0
Spain,86,15.0
Spain,86,9.0
Spain,85,17.0
US,85,20.0
France,85,34.0
France,85,20.0
France,85,12.0
France,85,
France,85,15.0
US,85,11.0
Spain,85,10.0
Portugal,85,9.0
Portugal,85,10.0
Romania,85,10.0
Italy,85,14.0
Spain,85,20.0
Chile,85,15.0
Portugal,85,7.0
Chile,85,8.0
Chile,85,10.0
Italy,85,20.0
Portugal,85,12.0
Portugal,85,8.0
Italy,85,18.0
US,85,28.0
Portugal,85,9.0
US,99,125.0
US,99,94.0
France,98,1900.0
France,98,380.0
US,98,50.0
Italy,98,102.0
France,97,170.0
Italy,97,220.0
Italy,97,215.0
US,97,150.0
France,97,1100.0
US,97,82.0
France,96,280.0
France,96,200.0
Italy,96,75.0
France,96,1200.0
France,96,
France,96,195.0
US,96,125.0
France,96,1300.0
France,96,400.0
US,96,78.0
France,96,75.0
US,95,56.0
France,95,89.0
