country,points,price,province
Chile,88,12.0,Maipo Valley
Chile,88,14.0,Central Valley
US,87,12.0,California
Chile,87,11.0,Lontué Valley
Chile,87,12.0,Maipo Valley
Italy,87,,Northeastern Italy
US,85,16.0,California
Chile,85,15.0,Colchagua Valley
Chile,85,13.0,Curicó Valley
Italy,85,24.0,Veneto
Italy,85,13.0,Italy Other
Italy,85,19.0,Veneto
Chile,85,11.0,Colchagua Valley
US,85,15.0,California
US,85,45.0,California
Italy,85,19.0,Veneto
France,85,30.0,Champagne
Chile,85,14.0,Casablanca Valley
Italy,85,15.0,Veneto
US,85,20.0,New York
US,85,20.0,New York
US,85,12.0,California
Italy,85,20.0,Veneto
Italy,85,13.0,Veneto
Italy,85,16.0,Veneto
US,85,14.0,New York
Italy,85,14.0,Veneto
Italy,85,,Veneto
Austria,85,,Burgenland
France,89,20.0,Bordeaux
France,89,,Bordeaux
US,89,30.0,Washington
US,89,20.0,Washington
Austria,89,23.0,Weinviertel
US,89,30.0,California
US,89,18.0,New York
Spain,89,18.0,Northern Spain
US,89,35.0,New York
Austria,89,17.0,Kremstal
US,89,42.0,Washington
US,89,30.0,California
US,89,24.0,California
US,89,16.0,Washington
US,89,27.0,California
Italy,89,89.0,Piedmont
Austria,89,,Thermenregion
Italy,89,15.0,Piedmont
US,89,54.0,California
Spain,89,15.0,Northern Spain
Spain,89,42.0,Northern Spain
US,89,38.0,Washington
Austria,89,12.0,Niederösterreich
US,89,35.0,New York
US,88,32.0,California
Austria,88,12.0,Wagram
Italy,88,28.0,Sicily & Sardinia
US,88,20.0,California
France,88,14.0,Loire Valley
France,88,19.0,Rhône Valley
Italy,92,39.0,Lombardy
France,92,,Champagne
Italy,92,35.0,Tuscany
France,92,,Burgundy
France,92,69.0,Champagne
Canada,92,30.0,Ontario
US,92,40.0,California
US,92,23.0,California
US,92,45.0,California
Italy,92,50.0,Lombardy
France,92,100.0,Champagne
US,92,50.0,Oregon
US,92,29.0,Oregon
France,92,66.0,Burgundy
France,92,60.0,Champagne
Germany,92,115.0,Rheinhessen
Italy,92,69.0,Veneto
France,92,,Champagne
US,92,65.0,Oregon
Germany,92,42.0,Mosel
Germany,92,27.0,Mosel
France,92,70.0,Champagne
France,92,73.0,Burgundy
France,92,72.0,Burgundy
Portugal,92,34.0,Alentejano
France,92,,Champagne
US,92,130.0,California
US,92,88.0,California
France,92,65.0,Bordeaux
France,92,,Champagne
Italy,87,15.0,Sicily & Sardinia
US,87,45.0,Washington
Italy,87,18.0,Sicily & Sardinia
US,87,60.0,California
South Africa,87,12.0,Stellenbosch
South Africa,87,12.0,Western Cape
France,87,13.0,Rhône Valley
US,87,13.0,California
Italy,87,15.0,Northeastern Italy
Italy,87,18.0,Northeastern Italy
Italy,87,13.0,Northeastern Italy
Spain,87,19.0,Catalonia
Austria,87,18.0,Kremstal
US,87,30.0,Washington
US,87,35.0,Washington
US,87,12.0,New York
US,87,18.0,California
Spain,87,25.0,Northern Spain
US,87,30.0,California
US,87,17.0,California
France,87,20.0,Provence
Spain,87,11.0,Northern Spain
US,87,15.0,California
Austria,87,18.0,Österreichischer Sekt
US,87,19.0,California
France,87,15.0,Rhône Valley
Spain,87,16.0,Northern Spain
Italy,87,12.0,Northeastern Italy
US,87,28.0,Washington
US,87,28.0,Washington
US,91,65.0,California
US,91,48.0,California
France,91,70.0,Champagne
France,91,59.0,Champagne
US,91,90.0,California
Chile,91,35.0,Colchagua Valley
US,91,75.0,California
US,91,55.0,California
US,91,55.0,California
France,91,60.0,Burgundy
US,91,36.0,California
US,91,35.0,California
US,91,35.0,California
US,91,55.0,Oregon
US,91,65.0,Oregon
US,91,35.0,Washington
US,91,49.0,California
US,91,55.0,Oregon
Germany,91,30.0,Rheinhessen
France,91,42.0,Champagne
US,91,45.0,California
Chile,91,24.0,Colchagua Valley
US,91,50.0,Oregon
US,91,50.0,Oregon
US,91,50.0,Oregon
US,91,38.0,California
Germany,91,22.0,Mosel
US,91,50.0,Washington
US,91,110.0,California
US,91,45.0,Oregon
US,93,42.0,California
US,93,60.0,California
US,93,42.0,California
Italy,93,30.0,Northeastern Italy
US,93,75.0,California
US,93,54.0,California
US,93,85.0,California
US,93,50.0,California
US,93,150.0,California
US,93,85.0,California
Italy,93,90.0,Piedmont
US,93,35.0,California
US,93,46.0,California
France,93,20.0,Provence
Argentina,93,42.0,Mendoza Province
France,93,40.0,Provence
US,93,75.0,Washington
Spain,93,88.0,Northern Spain
US,93,40.0,California
US,93,25.0,California
US,93,48.0,California
US,93,45.0,California
US,93,50.0,California
US,93,65.0,California
US,93,48.0,California
US,93,62.0,California
US,93,100.0,California
US,93,53.0,California
Argentina,93,55.0,Mendoza Province
US,93,70.0,California
US,89,38.0,Washington
US,89,50.0,Washington
US,89,25.0,California
Italy,89,15.0,Piedmont
France,89,14.0,Bordeaux
France,89,11.0,Rhône Valley
France,89,14.0,Bordeaux
France,89,37.0,Bordeaux
US,89,17.0,New York
France,89,15.0,Bordeaux
US,89,13.0,California
US,89,18.0,Washington
US,89,26.0,Washington
US,89,18.0,Washington
US,89,32.0,California
Austria,89,18.0,Kamptal
US,89,25.0,Washington
Austria,89,18.0,Steiermark
Austria,89,20.0,Südsteiermark
US,89,18.0,California
Austria,89,,Burgenland
US,89,17.0,California
Austria,89,13.0,Niederösterreich
US,89,41.0,Washington
Austria,89,16.0,Niederösterreich
France,89,20.0,Rhône Valley
US,89,30.0,Washington
Greece,89,13.0,Crete
Austria,89,24.0,Kremstal
US,89,36.0,California
US,87,20.0,California
Italy,87,19.0,Piedmont
Mexico,87,15.0,Valle de Guadalupe
US,87,69.0,California
US,87,36.0,New York
Spain,87,35.0,Northern Spain
Argentina,87,30.0,Mendoza Province
US,87,25.0,Oregon
US,87,25.0,Oregon
Portugal,87,15.0,Douro
US,87,20.0,Oregon
US,87,17.0,California
US,87,54.0,California
US,87,40.0,California
Portugal,87,12.0,Vinho Verde
Italy,87,19.0,Veneto
Argentina,87,11.0,Mendoza Province
US,87,45.0,California
Italy,87,25.0,Veneto
US,87,35.0,California
Italy,87,16.0,Piedmont
Italy,87,20.0,Veneto
US,87,28.0,California
US,87,25.0,Idaho
US,87,28.0,Idaho
US,87,20.0,Idaho
Italy,87,15.0,Veneto
Italy,87,23.0,Veneto
Italy,87,19.0,Piedmont
Australia,92,35.0,South Australia
US,92,75.0,California
US,92,48.0,Oregon
France,92,54.0,Alsace
France,92,34.0,Alsace
Australia,92,60.0,Victoria
US,92,48.0,California
Spain,92,28.0,Northern Spain
Australia,92,125.0,South Australia
France,92,45.0,Alsace
France,92,36.0,Alsace
France,92,30.0,Alsace
US,92,37.0,California
US,92,25.0,California
Portugal,92,30.0,Alentejano
US,92,60.0,California
US,92,40.0,California
US,92,50.0,Oregon
Portugal,92,23.0,Tejo
Portugal,92,80.0,Douro
Germany,92,34.0,Mosel
US,92,75.0,California
Italy,92,24.0,Northeastern Italy
France,92,39.0,Alsace
Australia,92,21.0,Western Australia
US,92,35.0,California
France,92,43.0,Alsace
US,92,30.0,California
US,92,70.0,Oregon
South Africa,92,50.0,Coastal Region
US,90,40.0,California
US,90,45.0,Washington
US,90,80.0,California
US,90,15.0,California
Italy,90,65.0,Piedmont
US,90,65.0,California
Italy,90,35.0,Piedmont
Italy,90,25.0,Piedmont
US,90,20.0,Washington
Spain,90,15.0,Levante
US,90,26.0,New York
US,90,30.0,Washington
US,90,13.0,Washington
US,90,45.0,California
US,90,26.0,New York
US,90,44.0,California
US,90,38.0,California
US,90,28.0,California
US,90,32.0,Washington
Italy,90,50.0,Tuscany
Italy,90,35.0,Tuscany
US,90,35.0,Washington
Spain,90,25.0,Northern Spain
US,90,42.0,Washington
Italy,90,45.0,Piedmont
Italy,90,70.0,Tuscany
US,90,30.0,Washington
US,90,75.0,California
Italy,90,53.0,Piedmont
US,90,29.0,California
US,91,90.0,Washington
US,91,35.0,California
Austria,91,35.0,Burgenland
US,91,50.0,California
Italy,91,35.0,Tuscany
US,91,65.0,California
South Africa,91,50.0,Stellenbosch
Italy,91,43.0,Tuscany
New Zealand,91,28.0,Marlborough
Austria,91,,Wagram
US,91,20.0,Washington
South Africa,91,40.0,Simonsberg-Stellenbosch
Argentina,91,30.0,Mendoza Province
France,91,65.0,Provence
France,91,17.0,Provence
France,91,,Provence
France,91,20.0,Provence
New Zealand,91,28.0,Marlborough
France,91,20.0,Provence
France,91,20.0,Provence
France,91,25.0,Provence
US,91,38.0,California
New Zealand,91,120.0,Martinborough
US,91,23.0,California
US,91,48.0,California
US,91,32.0,California
New Zealand,91,50.0,Central Otago
Argentina,91,28.0,Mendoza Province
New Zealand,91,30.0,Central Otago
France,91,25.0,Provence
Portugal,85,8.0,Lisboa
France,85,15.0,Burgundy
Portugal,85,22.0,Alentejano
Argentina,85,14.0,Mendoza Province
Argentina,85,25.0,Mendoza Province
Portugal,85,8.0,Vinho Verde
US,85,14.0,Texas
Italy,85,80.0,Piedmont
Portugal,85,9.0,Vinho Verde
US,85,13.0,Oregon
Argentina,85,17.0,Other
Portugal,85,10.0,Alentejano
US,85,16.0,California
France,85,10.0,France Other
France,85,22.0,Burgundy
France,85,40.0,Burgundy
Argentina,85,15.0,Mendoza Province
Argentina,85,17.0,Other
US,85,32.0,California
Portugal,85,12.0,Península de Setúbal
Argentina,85,17.0,Mendoza Province
Italy,85,102.0,Piedmont
US,85,,Texas
France,85,10.0,Burgundy
France,85,20.0,Burgundy
US,85,33.0,California
Italy,85,48.0,Piedmont
Portugal,85,12.0,Alentejo
Australia,85,9.0,Australia Other
US,87,24.0,California
US,87,75.0,New York
France,87,12.0,Alsace
US,87,45.0,California
Chile,87,13.0,Central Valley
France,87,,Alsace
US,87,22.0,California
Spain,87,10.0,Northern Spain
US,87,18.0,California
US,87,35.0,California
US,87,36.0,California
US,87,34.0,California
US,87,70.0,California
US,87,28.0,California
Chile,87,19.0,Colchagua Valley
Spain,87,14.0,Northern Spain
Spain,87,10.0,Northern Spain
US,87,45.0,California
US,87,32.0,California
Australia,87,18.0,Tasmania
Spain,87,9.0,Northern Spain
Australia,87,11.0,Australia Other
Italy,87,30.0,Southern Italy
France,92,62.0,Champagne
US,92,40.0,California
France,92,66.0,Champagne
Portugal,92,32.0,Alentejo
US,92,70.0,Oregon
US,92,48.0,Oregon
France,92,72.0,Champagne
Italy,92,18.0,Northeastern Italy
US,92,105.0,Oregon
France,92,101.0,Champagne
Italy,92,50.0,Tuscany
Italy,92,85.0,Northeastern Italy
US,92,35.0,California
US,92,38.0,California
Portugal,90,32.0,Douro
Argentina,90,25.0,Other
Portugal,90,12.0,Douro
US,90,125.0,California
Argentina,90,46.0,Mendoza Province
Germany,90,29.0,Mosel
US,90,17.0,Washington
US,90,85.0,Oregon
France,90,30.0,Bordeaux
US,90,34.0,Washington
US,90,22.0,California
France,90,35.0,Bordeaux
France,90,45.0,Bordeaux
France,90,20.0,Bordeaux
France,90,17.0,Bordeaux
France,90,45.0,Bordeaux
US,90,20.0,California
US,90,50.0,California
France,90,22.0,Beaujolais
US,90,39.0,Washington
US,90,35.0,Washington
US,90,15.0,Oregon
US,90,27.0,California
Australia,90,66.0,Victoria
Italy,90,32.0,Central Italy
Spain,90,20.0,Central Spain
US,90,125.0,California
Germany,90,16.0,Franken
US,90,42.0,California
Australia,90,22.0,South Australia
Italy,86,,Tuscany
US,86,18.0,Washington
US,86,22.0,New York
Chile,86,12.0,Colchagua Valley
France,86,15.0,Beaujolais
France,86,9.0,Southwest France
Spain,86,12.0,Northern Spain
Spain,86,15.0,Catalonia
Italy,86,20.0,Tuscany
US,86,28.0,California
US,86,10.0,California
Italy,86,70.0,Tuscany
Italy,86,28.0,Tuscany
Chile,86,11.0,Curicó Valley
France,86,30.0,Southwest France
US,86,26.0,Washington
France,86,15.0,Beaujolais
France,86,23.0,Beaujolais
France,86,,Beaujolais
Italy,86,30.0,Piedmont
Chile,86,10.0,Loncomilla Valley
France,86,12.0,Beaujolais
Spain,86,13.0,Catalonia
Spain,86,15.0,Catalonia
US,86,36.0,Washington
US,86,20.0,New York
France,86,,Beaujolais
US,86,10.0,California
France,86,16.0,Beaujolais
US,86,25.0,Washington
Italy,90,24.0,Sicily & Sardinia
Italy,90,,Sicily & Sardinia
France,90,24.0,Alsace
France,90,33.0,Alsace
France,90,,Burgundy
France,90,70.0,Burgundy
France,90,117.0,Burgundy
France,90,,Burgundy
France,90,16.0,Alsace
Germany,90,30.0,Mosel
US,90,20.0,California
US,90,35.0,California
Italy,90,25.0,Southern Italy
US,90,28.0,California
US,90,15.0,Oregon
US,90,150.0,California
US,90,45.0,California
Italy,90,30.0,Sicily & Sardinia
Italy,90,19.0,Sicily & Sardinia
US,90,45.0,California
Germany,90,40.0,Ahr
Italy,90,,Sicily & Sardinia
Australia,90,25.0,South Australia
US,90,40.0,Oregon
Chile,90,15.0,Colchagua Valley
US,90,42.0,California
US,90,29.0,California
US,90,42.0,California
US,90,18.0,Oregon
Hungary,90,16.0,Tokaji
Portugal,90,40.0,Douro
Portugal,90,,Douro
Spain,90,50.0,Catalonia
Italy,90,,Tuscany
France,90,35.0,Bordeaux
France,90,45.0,Bordeaux
US,90,20.0,California
Spain,90,44.0,Catalonia
US,90,22.0,California
Italy,90,,Tuscany
US,90,28.0,California
US,90,27.0,California
France,90,25.0,Languedoc-Roussillon
Portugal,90,60.0,Douro
US,90,72.0,Washington
US,90,44.0,California
US,90,28.0,California
US,90,29.0,California
US,90,58.0,Washington
Australia,90,15.0,Australia Other
Italy,90,29.0,Tuscany
Italy,90,45.0,Tuscany
US,90,70.0,California
US,90,39.0,Washington
Italy,90,,Tuscany
Italy,90,28.0,Tuscany
Spain,90,48.0,Catalonia
Portugal,90,50.0,Douro
US,87,22.0,Texas
Germany,87,10.0,Nahe
Italy,87,50.0,Piedmont
US,87,30.0,Texas
US,87,18.0,Texas
Portugal,87,30.0,Vinho Verde
Italy,87,39.0,Piedmont
Italy,87,35.0,Piedmont
Argentina,87,30.0,Mendoza Province
France,87,23.0,France Other
US,87,18.0,Oregon
,87,30.0,
Argentina,87,20.0,Other
US,87,25.0,Oregon
US,87,20.0,Oregon
Italy,87,50.0,Piedmont
Italy,87,50.0,Piedmont
Argentina,87,15.0,Mendoza Province
Australia,87,,Australia Other
Portugal,87,9.0,Tejo
Argentina,87,12.0,Mendoza Province
Portugal,87,14.0,Tejo
Australia,87,18.0,South Australia
US,87,20.0,California
Argentina,87,175.0,Mendoza Province
Portugal,87,12.0,Vinho Verde
Italy,87,60.0,Piedmont
US,87,20.0,California
Argentina,87,15.0,Mendoza Province
Italy,87,35.0,Piedmont
France,87,14.0,Bordeaux
France,87,16.0,Bordeaux
France,87,15.0,Bordeaux
France,87,14.0,Bordeaux
US,87,40.0,Oregon
US,87,29.0,Oregon
Spain,87,15.0,Northern Spain
US,87,55.0,California
France,87,38.0,Champagne
Spain,87,15.0,Levante
US,87,34.0,California
Spain,87,18.0,Northern Spain
US,87,27.0,Oregon
US,87,17.0,California
US,87,65.0,California
Portugal,87,13.0,Douro
Portugal,87,15.0,Alentejano
Italy,87,23.0,Piedmont
US,87,40.0,California
US,87,32.0,California
Spain,87,16.0,Catalonia
US,87,38.0,Oregon
US,87,15.0,California
Italy,87,50.0,Piedmont
Italy,87,30.0,Southern Italy
US,87,24.0,California
Spain,87,18.0,Northern Spain
France,87,40.0,Champagne
France,87,18.0,Bordeaux
France,87,20.0,Bordeaux
France,85,40.0,Champagne
France,85,11.0,Bordeaux
Italy,85,17.0,Lombardy
Italy,85,48.0,Southern Italy
New Zealand,85,9.0,Marlborough
Chile,85,10.0,Casablanca Valley
Italy,85,,Veneto
Chile,85,9.0,Maipo Valley
US,85,19.0,California
France,85,15.0,Champagne
US,85,23.0,California
US,85,35.0,California
US,85,30.0,Washington
Italy,85,12.0,Sicily & Sardinia
US,85,17.0,California
US,85,16.0,California
US,85,15.0,California
France,85,10.0,Bordeaux
Italy,85,41.0,Veneto
France,85,10.0,Bordeaux
Italy,85,16.0,Veneto
US,85,25.0,California
Romania,85,12.0,Dealu Mare
Argentina,88,20.0,Mendoza Province
Portugal,88,,Port
Australia,88,25.0,South Australia
US,88,20.0,Oregon
Spain,88,53.0,Northern Spain
US,88,12.0,California
France,88,,Southwest France
France,88,14.0,Southwest France
France,88,12.0,Southwest France
France,88,22.0,Loire Valley
Italy,88,26.0,Sicily & Sardinia
Italy,88,14.0,Sicily & Sardinia
Australia,88,18.0,South Australia
US,88,18.0,Oregon
US,88,17.0,Oregon
US,88,24.0,Oregon
Italy,88,41.0,Sicily & Sardinia
US,88,60.0,Oregon
France,88,26.0,Southwest France
